R682,SKULL VALLEY RESERVATION,A
R687,UINTAH AND OURAY RESERVATION,A
R688,SHIVWITZ RESERVATION,A
R689,SAN JUAN SOUTHERN PAIUTE TRIBE OF ARIZONA,A
R691,BRIDGEPORT COLONY,A
R693,DEATH VALLEY TIMBI-SHA SHOSHONE BAND OF CALIFORNIA,A
R695,CHEMEHUEVI RESERVATION,A
R696,FORT YUMA (QUECHAN) RESERVATION,A
R701,JICARILLA APACHE RESERVATION,A
R702,MESCALERO APACHE RESERVATION,A
R703,ACOMA PUEBLO,A
R704,COCHITI PUEBLO,A
R705,ISLETA PUEBLO,A
R706,JEMEZ PUEBLO,A
R707,LAGUNA PUEBLO,A
R708,NAMBE PUEBLO,A
R709,PICURIS PUEBLO,A
R710,POJOAQUE PUEBLO,A
R711,SANDIA PUEBLO,A
R712,SAN FELIPE PUEBLO,A
R713,SAN ILDEFONSO PUEBLO,A
R714,SAN JUAN PUEBLO,A
R715,SANTA ANA PUEBLO,A
R716,SANTA CLARA PUEBLO,A
R717,SANTO DOMINGO PUEBLO,A
R718,TAOS PUEBLO,A
R719,TESUQUE PUEBLO,A
R720,ZIA PUEBLO,A
R721,ZUNI RESERVATION,A
R722,RAMAH (NAVAJO) COMMUNITY,A
R723,ALAMO NAVAJO RESERVATION,A
R724,CANONCITO (NAVAJO) COMMUNITY,A
R725,YSLETA DEL SUR PUEBLO,A
R750,SOUTHERN UTE RESERVATION,A
R751,UTE MOUNTAIN RESERVATION,A
R790,NAVAJO RESERVATION,A
R791,NAVAJO RESERVATION,A
R792,NAVAJO RESERVATION,A
R801,CHEYENNE-ARAPAHOE TRUST LAND,A
R802,"KIOWA, COMANCHE, APACHE TRUST LAND",A
R803,FORT SILL APACHE TRUST LAND,A
R804,"KIOWA, COMANCHE, APACHE TRUST LAND",A
R810,KAW NATION TRUST LAND,A
R811,OTOE-MISSOURIA TRIBE TRUST LAND,A
R812,PAWNEE INDIAN TRIBE TRUST LAND,A
R813,PONCA TRIBE TRUST LAND,A
R814,TONKAWA TRIBE TRUST LAND,A
R820,ABSENTEE-SHAWNEE TRIBE TRUST LAND,A
R821,CITIZEN POTAWATOMI TRUST LAND,A
R822,IOWA TRIBE TRUST LAND,A
R823,KICKAPOO TRIBE TRUST LAND,A
R824,SAC AND FOX NATION TRUST LAND,A
R826,KICKAPOO TRADITIONAL TRIBE (TEXAS),A
R830,ALABAMA AND COUSHATTA RESERVATION,A
R860,IOWA RESERVATION,A
R861,KICKAPOO RESERVATION (KANSAS),A
R862,POTAWATOMI (KANSAS) RESERVATION,A
R863,SAC AND FOX (KS-NE) RESERVATION,A
R864,SHAWNEE,A
R920,QUAPAW TRIBE TRUST LAND,A
R921,EASTERN SHAWNEE TRIBE TRUST LAND,A
R922,OTTAWA TRIBE TRUST LAND,A
R923,SENECA-CAYUGA TRIBE TRUST LAND,A
R924,WYANDOTTE TRIBE OF OKLAHOMA,A
R925,MIAMI TRIBE OF OKLAHOMA,A
R926,PEORIA TRIBE TRUST LAND,A
R927,MODOC TRIBE OF OKLAHOMA,A
R975,COOK INLET,A
R976,AHTNA,A
R977,KONIAG,A
R978,BERING STRAITS,A
R979,BRISTOL BAY,A
R980,CHUGACH,A
R981,NANA,A
R982,SEALASKA,A
R984,ALEUT,A
R985,ARCTIC SLOPE,A
R986,CALISTA,A
R989,DOYON,A
R999,COWLITZ INDIAN TRIBE OF SOUTHWEST WASHINGTON,A
RA36,BIG BEND RANCHERIA,A
RA92,CEDAR CITY RESERVATION,A
RB36,BURNEY TRACT,A
RB92,INDIAN PEAKS RSERVATION,A
RC36,LIKELY RANCHERIA,A
