CA,Tolowa Dee-ni' Nation
WA,Snoqualmie Indian Tribe
CA,"Soboba Band of Luiseno Indians, California"
WI,"Sokaogon Chippewa Community, Wisconsin"
CO,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado"
ND,"Spirit Lake Tribe, North Dakota"
WA,Spokane Tribe of the Spokane Reservation
WA,Squaxin Island Tribe of the Squaxin Island Reservation
SD,Standing Rock Sioux Tribe of North & South Dakota
WI,"Stockbridge Munsee Community, Wisconsin"
WA,Stillaguamish Tribe of Indians of Washington
NV,Summit Lake Paiute Tribe of Nevada
WA,Suquamish Indian Tribe of the Port Madison Reservation
CA,"Susanville Indian Rancheria, California"
WA,Swinomish Indian Tribal Community
CA,Sycuan Band of the Kumeyaay Nation
CA,Table Mountain Rancheria of California
CA,Tejon Indian Tribe
NV,Te-Moak Tribe of Western Shoshone Indians of Nevada (Four constituent bands: Battle Mountain Band; Elko Band; South Fork Band and Wells Band)
OK,Thlopthlocco Tribal Town
ND,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota"
AZ,Tohono O'odham Nation of Arizona
NY,Tonawanda Band of Seneca
OK,Tonkawa Tribe of Indians of Oklahoma
AZ,Tonto Apache Tribe of Arizona
CA,"Torres Martinez Desert Cahuilla Indians, California"
CA,"Tule River Indian Tribe of the Tule River Reservation, California"
WA,Tulalip Tribes of Washington
LA,Tunica-Biloxi Indian Tribe
CA,Tuolumne Band of Me-Wuk Indians of the Tuolumne Rancheria of California
ND,Turtle Mountain Band of Chippewa Indians of North Dakota
NY,Tuscarora Nation
CA,Twenty-Nine Palms Band of Mission Indians of California
CA,United Auburn Indian Community of the Auburn Rancheria of California
OK,United Keetoowah Band of Cherokee Indians in Oklahoma
MN,"Upper Sioux Community, Minnesota"
WA,Upper Skagit Indian Tribe
UT,"Ute Indian Tribe of the Uintah & Ouray Reservation, Utah"
CO,Ute Mountain Ute Tribe
CA,"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California"
NV,"Walker River Paiute Tribe of the Walker River Reservation, Nevada"
MA,Wampanoag Tribe of Gay Head (Aquinnah)
