"POLLUTANT_CODE","POLLUTANT_DESC","SRS_ID","POLLUTANT_CATEGORY_CODE","CHEMICAL_FORMULA","CHEMICAL_ABSTRACT_SERVICE_NMBR","USER_FLAG","USER_ID","STATUS_FLAG","EPA_ID","CREATED_BY","CREATED_DATE","UPDATED_BY","UPDATED_DATE","SRS_SYSTEMATIC_NAME"
2603,"MICHIGAN SIP VIOLATIONS","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"MICHIGAN SIP VIOLATIONS"
2604,"MICROBACTERIAL","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"MICROBACTERIAL"
2606,"MICROBIAL","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"MICROBIAL"
2607,"MICROBIAL CONTAMINANTS","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"MICROBIAL CONTAMINANTS"
2608,"MICROBICIDE [NALCO 7320]","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_9071",26-JUL-13,"MICROBICIDE [NALCO 7320]"
2190,"INORGANIC ALKALIDES","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"INORGANIC ALKALIDES"
2194,"INORGANIC CONTAMINANTS","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"INORGANIC CONTAMINANTS"
2197,"INORGANIC DEBRIS W/","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"INORGANIC DEBRIS W/"
2198,"INORGANIC PRESERVATI","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_5162",04-MAY-07,"INORGANIC PRESERVATI"
2199,"INORGANIC/ORGANIC CHEMICALS","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"INORGANIC/ORGANIC CHEMICALS"
2200,"Inorganics","17001736","","","","",,"A","E17001736","ICIS_PHASE_I",24-JUN-05,"SRUBIN",15-JUL-16,"Inorganics"
2202,"INORGANIZ CHEMICALS","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"INORGANIZ CHEMICALS"
2203,"INSECT SPRAY AND DEODORANT","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"INSECT SPRAY AND DEODORANT"
2204,"INSECTICIDE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"INSECTICIDE"
2205,"INSECTICIDES","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"INSECTICIDES"
2206,"INTERMEDIATES","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"INTERMEDIATES"
2207,"INVENTORY FORMS","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"INVENTORY FORMS"
2209,"IOLUENE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"IOLUENE"
2210,"ION EXCHANGE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"ION EXCHANGE"
2211,"IPA","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_5162",04-MAY-07,"IPA"
2212,"Iridium","149542","","","7439885","",,"A","","ICIS_PHASE_I",24-JUN-05,"SCR_5162",04-MAY-07,"Iridium"
2216,"IRON AND SILVER","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"IRON AND SILVER"
2217,"IRON CAKE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"IRON CAKE"
2218,"Iron oxide","85308","","","1332372","",,"A","","ICIS_PHASE_I",24-JUN-05,"SCR_5162",04-MAY-07,"Iron oxide"
2220,"Total water irrigated","17132465","WTR","","","",,"A","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"Irrigation water"
2221,"ISOBUTYL ALCOHOL","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"ISOBUTYL ALCOHOL"
2222,"ISOPENTANE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"ISOPENTANE"
2223,"ISOPHORONE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"ISOPHORONE"
2224,"ISOPHORONE [TSCA CBI]","P1CONV","","","78591","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_9071",26-JUL-13,"ISOPHORONE [TSCA CBI]"
2225,"ISOPRENE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"ISOPRENE"
2227,"ISOPROPANOL","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"ISOPROPANOL"
2230,"ISOPROPYLIDENEPHENOL","P1CONV","","","80057","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_5162",04-MAY-07,"ISOPROPYLIDENEPHENOL"
2231,"ISS","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"ISS"
2233,"K-65","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"K-65"
2234,"K-65 WASTE STREAM","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"K-65 WASTE STREAM"
2236,"K-BLEND/FINISHED FUE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"K-BLEND/FINISHED FUE"
2237,"K.CIDE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"K.CIDE"
2238,"K016","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"K016"
2240,"K061, OIL DERIATIVES","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"K061, OIL DERIATIVES"
2241,"K064","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"K064"
2242,"K170","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"K170"
2244,"KEEP  MEAL","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"KEEP  MEAL"
2246,"KERATIN","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"KERATIN"
2248,"KEROSENE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"KEROSENE"
2249,"KETONE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"KETONE"
2250,"KETONE & ACIDS","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"KETONE & ACIDS"
2251,"KETONE PEROXIDE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"KETONE PEROXIDE"
2254,"KO61 BAGHOUSE DUST FROM AN EAF","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"KO61 BAGHOUSE DUST FROM AN EAF"
2257,"KOG1","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"KOG1"
2258,"KYLENE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"KYLENE"
2259,"KYMENE PRODUCTS","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"KYMENE PRODUCTS"
2261,"LAB-PACK WASTES","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"LAB-PACK WASTES"
2262,"LABELED TORDON 22K","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"LABELED TORDON 22K"
2263,"LABORATORY REAGENT CONTAINERS [10,000]","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_9071",26-JUL-13,"LABORATORY REAGENT CONTAINERS [10,000]"
2264,"LACQUER THINNER","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"LACQUER THINNER"
2265,"LACQUER THINNER 1050","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"LACQUER THINNER 1050"
2266,"LAND DISPOSAL","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"LAND DISPOSAL"
2582,"METHYLETHYL KELORE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"METHYLETHYL KELORE"
2267,"LARIAT","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"LARIAT"
2268,"LASSO","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"LASSO"
2269,"LASSO ATRAZINE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"LASSO ATRAZINE"
2366,"LIQUID PAINT WASTE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"LIQUID PAINT WASTE"
2394,"M-XYLENE","P1CONV","","","108383","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_5162",04-MAY-07,"M-XYLENE"
2402,"MAGAZINES","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"MAGAZINES"
2407,"MAGNESIUM CYANIDE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"MAGNESIUM CYANIDE"
2415,"MALEIC ANHYDRIDE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"MALEIC ANHYDRIDE"
2423,"Manganese","149625","WTR","","7439965","",,"A","","ICIS_PHASE_I",24-JUN-05,"SCR_5162",04-MAY-07,"Manganese"
2428,"Manure remaining, gallons","1648484","WTR","","","",,"A","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"Manure"
6380,"D028","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"D028"
